animeID,name,type,source,episodes,duration,genre,rating,score,scored_by,rank,popularity,members,favorites
1,Cowboy Bebop,TV,Original,26,0:24:00,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",R - 17+ (violence & profanity),8.81,405664,26,39,795733,43460
5,Cowboy Bebop: Tengoku no Tobira,Movie,Original,1,1:55:00,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",R - 17+ (violence & profanity),8.41,120243,164,449,197791,776
6,Trigun,TV,Manga,26,0:24:00,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",PG-13 - Teens 13 or older,8.3,212537,255,146,408548,10432
7,Witch Hunter Robin,TV,Original,26,0:25:00,"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",PG-13 - Teens 13 or older,7.33,32837,2371,1171,79397,537
8,Bouken Ou Beet,TV,Manga,52,0:23:00,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",PG - Children,7.03,4894,3544,3704,11708,14
16,Hachimitsu to Clover,TV,Manga,24,0:23:00,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",PG-13 - Teens 13 or older,8.12,57065,419,536,172274,3752
17,Hungry Heart: Wild Striker,TV,Manga,52,0:23:00,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",PG-13 - Teens 13 or older,7.67,9307,1186,3124,17145,210
18,Initial D Fourth Stage,TV,Manga,24,0:27:00,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",PG-13 - Teens 13 or older,8.23,42555,298,1262,73438,635
19,Monster,TV,Manga,74,0:24:00,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",R+ - Mild Nudity,8.69,131233,49,156,394387,19188
20,Naruto,TV,Manga,220,0:23:00,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",PG-13 - Teens 13 or older,7.9,716412,705,10,1091313,39356
